epoch,elbo,nll,kl,prior_mean,prior_std
127,[18066.744],8443.768,[9622.972],-0.001286796,0.05140873
,,,,,
128,[18051.053],8417.504,[9633.546],-0.001316875,0.051416281
,,,,,
129,[17895.05],8282.671,[9612.36],-0.001334046,0.051404455
,,,,,
130,[18332.943],8735.733,[9597.22],-0.001242573,0.05141578
,,,,,
131,[18158.352],8569.649,[9588.717],-0.001228611,0.051403519
,,,,,
132,[18062.152],8480.022,[9582.13],-0.001239916,0.051401658
,,,,,
133,[17994.002],8402.674,[9591.322],-0.00123888,0.051387524
,,,,,
134,[17994.406],8413.103,[9581.3125],-0.001219431,0.051387169
,,,,,
135,[17883.135],8307.156,[9575.985],-0.001285082,0.051353046
,,,,,
136,[17979.736],8410.917,[9568.822],-0.001217289,0.05137061
,,,,,
137,[18047.693],8498.73,[9548.969],-0.001360141,0.051334197
,,,,,
138,[17894.816],8350.9,[9543.928],-0.001292369,0.051329521
,,,,,
139,[18034.12],8495.754,[9538.369],-0.00129134,0.051324491
,,,,,
140,[18089.916],8543.365,[9546.565],-0.001245264,0.051336374
,,,,,
141,[17887.945],8357.075,[9530.881],-0.001334664,0.051295181
,,,,,
142,[18135.107],8593.366,[9541.758],-0.001358198,0.05129321
,,,,,
143,[17902.95],8357.044,[9545.888],-0.001286905,0.051303519
,,,,,
144,[17854.62],8317.375,[9537.229],-0.001266061,0.051293529
,,,,,
145,[17678.275],8162.0713,[9516.213],-0.001337893,0.051272646
,,,,,
146,[17789.396],8285.221,[9504.164],-0.001327165,0.051277692
,,,,,
147,[17837.158],8338.399,[9498.768],-0.001225858,0.051285057
,,,,,
148,[17863.648],8367.142,[9496.496],-0.001208913,0.051261353
,,,,,
149,[17930.012],8437.35,[9492.661],-0.001242121,0.051239988
,,,,,
150,[17888.445],8392.196,[9496.246],-0.001198204,0.051243721
,,,,,
151,[17671.129],8185.0894,[9486.033],-0.001246413,0.051226415
,,,,,
152,[17921.02],8430.376,[9490.66],-0.001282992,0.051231073
,,,,,
153,[17648.389],8152.556,[9495.84],-0.001246475,0.051225225
,,,,,
154,[17659.125],8182.8135,[9476.308],-0.001336868,0.0511933
,,,,,
155,[17689.59],8233.055,[9456.519],-0.001242941,0.05120376
,,,,,
156,[17821.871],8362.555,[9459.311],-0.001330834,0.051184271
,,,,,
157,[17674.705],8226.196,[9448.51],-0.001357783,0.051177734
,,,,,
158,[17722.465],8294.585,[9427.882],-0.001399191,0.051156517
,,,,,
159,[17685.951],8252.784,[9433.165],-0.001371945,0.051154963
,,,,,
160,[17707.787],8277.005,[9430.793],-0.001461849,0.05112129
,,,,,
161,[17667.13],8234.649,[9432.478],-0.001315862,0.051139546
,,,,,
162,[17638.469],8206.577,[9431.903],-0.001307616,0.051133872
,,,,,
163,[17685.51],8260.071,[9425.439],-0.001316403,0.0511365
,,,,,
164,[17663.49],8235.811,[9427.683],-0.001361412,0.051123023
,,,,,
165,[17563.977],8156.014,[9407.957],-0.001391333,0.051114731
,,,,,
166,[17466.855],8065.801,[9401.068],-0.0013488,0.051121067
,,,,,
167,[17724.133],8328.465,[9395.6875],-0.001333432,0.051119449
,,,,,
168,[17413.324],8034.8394,[9378.503],-0.001325256,0.051109957
,,,,,
169,[17624.969],8252.083,[9372.905],-0.001245408,0.0511302
,,,,,
170,[17669.416],8277.178,[9392.233],-0.001205155,0.051129283
,,,,,
171,[17446.94],8076.8984,[9370.025],-0.001254735,0.051092932
,,,,,
172,[17491.988],8149.9834,[9341.995],-0.00126077,0.051095497
,,,,,
173,[17489.81],8131.2544,[9358.564],-0.001275764,0.05109552
,,,,,
174,[17463.48],8104.5425,[9358.935],-0.001322839,0.051084988
,,,,,
175,[17405.807],8053.6455,[9352.161],-0.001314819,0.051074972
,,,,,
176,[17358.889],8018.233,[9340.656],-0.001164258,0.051098253
,,,,,
177,[17381.531],8049.024,[9332.511],-0.001244143,0.05107411
,,,,,
178,[17275.756],7955.2295,[9320.514],-0.001253814,0.051047678
,,,,,
179,[17445.041],8125.7134,[9319.318],-0.001258999,0.051029697
,,,,,
180,[17404.566],8085.41,[9319.149],-0.001267962,0.051005338
,,,,,
181,[17403.062],8106.2114,[9296.837],-0.001252282,0.051013697
,,,,,
182,[17152.451],7850.9507,[9301.491],-0.001265448,0.050979281
,,,,,
183,[17431.8],8143.368,[9288.445],-0.001222256,0.051009494
,,,,,
184,[17320.502],8019.0557,[9301.46],-0.001217032,0.050996751
,,,,,
185,[17346.627],8049.079,[9297.549],-0.001250984,0.050982132
,,,,,
186,[17329.475],8014.71,[9314.755],-0.001263784,0.050973179
,,,,,
187,[17206.125],7896.0796,[9310.061],-0.001312773,0.050955609
,,,,,
188,[17325.021],8036.538,[9288.477],-0.001308604,0.050961752
,,,,,
189,[17265.67],7971.6675,[9293.994],-0.001278113,0.050963966
,,,,,
190,[17198.639],7893.7085,[9304.932],-0.001227058,0.050952722
,,,,,
191,[17103.084],7808.683,[9294.398],-0.001295717,0.050922889
,,,,,
192,[17267.838],7998.9517,[9268.892],-0.001304137,0.050916583
,,,,,
193,[17125.885],7867.909,[9257.956],-0.001199717,0.050936377
,,,,,
194,[17321.371],8059.0645,[9262.293],-0.001239981,0.050923654
,,,,,
195,[17140.59],7875.8135,[9264.765],-0.001288893,0.050913105
,,,,,
196,[17218.205],7958.2686,[9259.921],-0.001234081,0.050906389
,,,,,
197,[17035.176],7775.551,[9259.629],-0.001306681,0.05090908
,,,,,
198,[17127.285],7858.3696,[9268.925],-0.00126541,0.050912435
,,,,,
199,[17168.703],7918.5205,[9250.195],-0.001320484,0.050879682
,,,,,
200,[17283.605],8055.7036,[9227.909],-0.00124582,0.050885076
,,,,,
201,[17032.76],7816.113,[9216.653],-0.001255126,0.050877557
,,,,,
202,[17155.701],7944.303,[9211.402],-0.001269919,0.05086466
,,,,,
203,[16981.064],7756.2017,[9224.862],-0.001266744,0.050874617
,,,,,
204,[17069.615],7860.917,[9208.69],-0.001314871,0.050863475
,,,,,
205,[17143.178],7930.3096,[9212.865],-0.001306072,0.050845308
,,,,,
206,[16944.621],7709.092,[9235.54],-0.001305568,0.050845216
,,,,,
207,[17038.354],7813.531,[9224.81],-0.001354279,0.050822121
,,,,,
208,[17079.102],7851.2734,[9227.807],-0.001290006,0.050833312
,,,,,
209,[17084.812],7861.4966,[9223.314],-0.001281213,0.050849372
,,,,,
210,[17122.21],7905.6133,[9216.596],-0.001346915,0.050813523
,,,,,
211,[17021.875],7814.799,[9207.078],-0.001304814,0.050805197
,,,,,
212,[17037.055],7819.743,[9217.306],-0.001270968,0.05081108
,,,,,
213,[16937.713],7737.667,[9200.031],-0.001340023,0.050788142
,,,,,
214,[17027.064],7837.043,[9190.03],-0.001331935,0.05077947
,,,,,
215,[17032.846],7844.4087,[9188.443],-0.001203529,0.050804806
,,,,,
216,[16998.982],7808.224,[9190.755],-0.001340821,0.050766004
,,,,,
217,[16843.771],7668.7437,[9175.019],-0.001259126,0.050769839
,,,,,
218,[16943.387],7771.3613,[9172.021],-0.001237584,0.050751819
,,,,,
219,[16995.578],7827.135,[9168.461],-0.001235738,0.050758261
,,,,,
220,[16849.846],7680.572,[9169.278],-0.001337045,0.05073501
,,,,,
221,[16884.36],7727.045,[9157.321],-0.001307909,0.050727255
,,,,,
222,[17125.672],7962.3433,[9163.326],-0.001321943,0.050720279
,,,,,
223,[16947.602],7769.2925,[9178.316],-0.001341187,0.05071291
,,,,,
224,[17083.291],7916.4556,[9166.837],-0.00135372,0.050698464
,,,,,
225,[16828.21],7658.494,[9169.721],-0.001336803,0.050685939
,,,,,
226,[16926.945],7768.698,[9158.24],-0.001340093,0.05068585
,,,,,
227,[16955.088],7787.342,[9167.754],-0.001256127,0.050726057
,,,,,
228,[16800.264],7645.2793,[9154.982],-0.001391312,0.050673728
,,,,,
229,[16956.037],7806.973,[9149.064],-0.001299247,0.050707225
,,,,,
230,[16995.443],7819.0522,[9176.378],-0.001358622,0.050664452
,,,,,
231,[16835.842],7673.4854,[9162.354],-0.001340713,0.050665753
,,,,,
232,[16860.055],7710.8975,[9149.155],-0.001345914,0.050671659
,,,,,
233,[16948.89],7789.3706,[9159.515],-0.00135137,0.050668823
,,,,,
234,[16937.72],7789.6855,[9148.023],-0.001380517,0.050651144
,,,,,
235,[16729.318],7589.875,[9139.456],-0.001384315,0.050651194
,,,,,
236,[16986.99],7836.1353,[9150.857],-0.001387207,0.050638307
,,,,,
237,[16965.746],7819.475,[9146.2705],-0.001379036,0.050635403
,,,,,
238,[16888.438],7745.9014,[9142.534],-0.001351194,0.050636681
,,,,,
239,[16834.541],7685.2817,[9149.26],-0.00141639,0.050625655
,,,,,
240,[16784.428],7644.6133,[9139.814],-0.001332975,0.050637235
,,,,,
241,[16724.527],7571.8037,[9152.726],-0.001318293,0.050620047
,,,,,
242,[16678.092],7544.299,[9133.782],-0.001405021,0.050592715
,,,,,
243,[16818.31],7677.6484,[9140.66],-0.001307726,0.050620594
,,,,,
244,[16794.27],7638.706,[9155.556],-0.001286999,0.050624003
,,,,,
245,[16710.27],7572.229,[9138.039],-0.001394393,0.050604362
,,,,,
246,[16676.203],7539.834,[9136.368],-0.001367013,0.050591706
,,,,,
247,[16710.428],7566.307,[9144.111],-0.001425491,0.050559122
,,,,,
248,[16821.598],7683.7935,[9137.797],-0.001307607,0.05056779
,,,,,
249,[16659.926],7522.002,[9137.907],-0.001324999,0.050551014
,,,,,
250,[16799.26],7651.3765,[9147.871],-0.001243128,0.050560954
,,,,,
251,[16757.6],7630.336,[9127.281],-0.001258645,0.050538254
,,,,,
252,[16804.4],7682.406,[9121.999],-0.001268307,0.050512402
,,,,,
253,[16775.98],7661.6504,[9114.329],-0.001311798,0.05049694
,,,,,
254,[16678.29],7553.307,[9124.979],-0.001249648,0.050515365
,,,,,
255,[16533.986],7411.025,[9122.976],-0.001281878,0.050490154
,,,,,
256,[16823.723],7712.4453,[9111.276],-0.001319303,0.050481551
,,,,,
257,[16611.824],7496.94,[9114.887],-0.00132724,0.050467993
,,,,,
258,[16764.984],7644.047,[9120.942],-0.001332825,0.050456206
,,,,,
259,[16761.717],7642.814,[9118.895],-0.001201997,0.050495464
,,,,,
260,[16802.404],7675.2783,[9127.143],-0.001320293,0.05046648
,,,,,
261,[16618.379],7499.7363,[9118.653],-0.001281668,0.050459517
,,,,,
262,[16547.938],7423.513,[9124.425],-0.001268065,0.050459977
,,,,,
263,[16661.633],7552.4824,[9109.131],-0.001335381,0.05044471
,,,,,
264,[16694.613],7591.9404,[9102.69],-0.001319438,0.050427872
,,,,,
265,[16655.414],7555.1724,[9100.235],-0.001208946,0.050439279
,,,,,
266,[16612.959],7510.557,[9102.408],-0.001260513,0.050422539
,,,,,
267,[16555.389],7452.486,[9102.904],-0.001227611,0.050429351
,,,,,
268,[16609.23],7511.221,[9098.022],-0.001296575,0.050409742
,,,,,
269,[16715.447],7629.4243,[9086.017],-0.001317003,0.050401402
,,,,,
270,[16607.76],7528.117,[9079.658],-0.001331549,0.050380741
,,,,,
271,[16481.799],7414.78,[9067.013],-0.001378368,0.050374432
,,,,,
272,[16575.809],7495.6606,[9080.147],-0.001293114,0.050385722
,,,,,
273,[16400.162],7321.326,[9078.834],-0.001273224,0.050353858
,,,,,
274,[16557.531],7492.092,[9065.446],-0.001362028,0.050342671
,,,,,
275,[16478.754],7404.254,[9074.495],-0.001372829,0.050329287
,,,,,
276,[16689.182],7604.4077,[9084.768],-0.001246279,0.050336715
,,,,,
277,[16569.262],7471.0835,[9098.18],-0.001368804,0.050302693
,,,,,
278,[16597.861],7517.891,[9079.968],-0.001324334,0.05032453
,,,,,
279,[16448.695],7357.6807,[9091.002],-0.001340031,0.050301271
,,,,,
280,[16486.498],7405.405,[9081.098],-0.001375902,0.050277175
,,,,,
281,[16403.604],7343.4517,[9060.159],-0.001370957,0.050283225
,,,,,
282,[16598.912],7534.695,[9064.219],-0.001358808,0.050281056
,,,,,
283,[16527.58],7454.0386,[9073.538],-0.001341919,0.050273582
,,,,,
284,[16449.428],7381.399,[9068.021],-0.001359447,0.050251693
,,,,,
285,[16491.365],7424.438,[9066.937],-0.001268122,0.050256033
,,,,,
286,[16438.934],7384.4663,[9054.456],-0.001308044,0.050241258
,,,,,
287,[16466.764],7393.192,[9073.582],-0.001394028,0.050216467
,,,,,
288,[16512.078],7445.506,[9066.567],-0.001217291,0.050253906
,,,,,
289,[16460.455],7392.54,[9067.908],-0.00128625,0.050214407
,,,,,
290,[16380.921],7350.867,[9030.067],-0.001302515,0.050210252
,,,,,
291,[16414.514],7366.6274,[9047.883],-0.001251869,0.050222158
,,,,,
292,[16608.566],7557.24,[9051.311],-0.00138158,0.050188822
,,,,,
293,[16457.795],7417.049,[9040.751],-0.001362488,0.050187696
,,,,,
294,[16306.75],7276.1465,[9030.591],-0.001426925,0.050182289
,,,,,
295,[16414.098],7382.252,[9031.835],-0.00141957,0.050156464
,,,,,
296,[16500.34],7468.2686,[9032.072],-0.00135272,0.050165057
,,,,,
297,[16514.316],7475.731,[9038.588],-0.001374246,0.050158371
,,,,,
298,[16497.184],7454.8667,[9042.323],-0.001319549,0.050152247
,,,,,
299,[16421.055],7369.397,[9051.675],-0.001261137,0.050150615
,,,,,
300,[16318.192],7277.7544,[9040.431],-0.001377762,0.050133369
,,,,,
