elbo accuracy variance lengthscale
-2.2880e+04 97.6700 0.6532 8.8714
-1.5509e+04 97.6500 0.6530 8.8727
-1.6282e+04 97.6800 0.6536 8.8722
-2.4612e+04 97.6700 0.6538 8.8727
-2.9904e+04 97.6500 0.6538 8.8739
-2.0214e+04 97.6600 0.6542 8.8735
-2.0101e+04 97.6800 0.6545 8.8738
-2.0257e+04 97.6600 0.6545 8.8749
-1.7237e+04 97.6600 0.6549 8.8747
-2.2538e+04 97.6800 0.6552 8.8750
-1.9456e+04 97.6600 0.6553 8.8760
-2.0749e+04 97.6700 0.6556 8.8758
-1.8523e+04 97.6600 0.6559 8.8762
-2.1356e+04 97.6600 0.6560 8.8770
-1.9126e+04 97.6600 0.6564 8.8768
-1.7910e+04 97.6500 0.6565 8.8774
-2.0574e+04 97.6800 0.6567 8.8780
-2.0268e+04 97.6700 0.6571 8.8778
-2.3617e+04 97.6600 0.6572 8.8785
-2.2479e+04 97.6800 0.6574 8.8791
-2.5429e+04 97.6700 0.6578 8.8788
-1.4421e+04 97.6500 0.6579 8.8796
-2.7874e+04 97.6800 0.6581 8.8801
-2.0057e+04 97.6600 0.6585 8.8799
-2.4781e+04 97.6500 0.6585 8.8806
-2.3728e+04 97.6800 0.6589 8.8810
-2.6735e+04 97.6500 0.6591 8.8809
-2.0172e+04 97.6600 0.6592 8.8817
-1.8256e+04 97.7000 0.6596 8.8820
-2.4667e+04 97.6600 0.6598 8.8819
-2.1241e+04 97.6700 0.6599 8.8826
-2.0301e+04 97.7000 0.6604 8.8828
-2.4966e+04 97.6600 0.6605 8.8827
-2.1060e+04 97.6700 0.6606 8.8834
-1.8335e+04 97.6900 0.6611 8.8838
-2.1454e+04 97.6600 0.6612 8.8837
-2.6908e+04 97.6600 0.6613 8.8844
-2.0060e+04 97.6800 0.6618 8.8848
-1.8592e+04 97.6700 0.6620 8.8846
-2.3437e+04 97.6700 0.6620 8.8852
-1.7192e+04 97.6900 0.6624 8.8858
-2.9684e+04 97.6700 0.6626 8.8856
-2.1447e+04 97.6700 0.6627 8.8862
-1.9271e+04 97.7000 0.6631 8.8867
-1.9266e+04 97.6800 0.6633 8.8866
-2.1409e+04 97.6700 0.6634 8.8871
-2.0349e+04 97.6900 0.6638 8.8875
-2.0988e+04 97.6600 0.6640 8.8876
-2.3462e+04 97.6600 0.6641 8.8879
-2.2136e+04 97.6800 0.6646 8.8882
-2.5272e+04 97.6800 0.6646 8.8885
-1.7519e+04 97.6500 0.6648 8.8888
-1.8364e+04 97.6900 0.6652 8.8891
-2.2756e+04 97.6700 0.6653 8.8894
-2.3369e+04 97.6500 0.6655 8.8896
-2.1488e+04 97.6800 0.6660 8.8898
-1.5980e+04 97.6800 0.6660 8.8903
-2.0465e+04 97.6400 0.6662 8.8904
-2.2674e+04 97.6800 0.6667 8.8906
-1.9800e+04 97.6700 0.6666 8.8911
-3.5319e+04 97.6500 0.6669 8.8912
-2.0406e+04 97.6800 0.6674 8.8912
-1.7737e+04 97.7000 0.6674 8.8917
-2.1700e+04 97.6700 0.6675 8.8920
-2.8252e+04 97.6700 0.6680 8.8920
-2.2983e+04 97.7000 0.6680 8.8925
-2.1057e+04 97.6900 0.6681 8.8929
