epoch,elbo,nll,kl,prior_std
9700,[86.36995],82.47889,[3.891056],0.35075098,0.22049033400237672
9800,[84.577644],80.700806,[3.8768377],0.35075098,0.2200098794757726
9900,[80.86075],76.522835,[4.3379145],0.35075098,0.2195438858004355
10000,[83.34952],79.79999,[3.5495286],0.35075098,0.21905931349732496
10100,[72.98731],69.87059,[3.1167243],0.35075098,0.21900416749323778
10200,[83.882126],81.08956,[2.7925665],0.35075098,0.21894358358247085
10300,[83.02768],80.4408,[2.5868723],0.35075098,0.21888665937344834
10400,[83.55035],81.0714,[2.4789426],0.35075098,0.21883127637063815
10500,[75.23734],72.85082,[2.3865218],0.35075098,0.218778177161662
10600,[81.71653],79.401825,[2.3147027],0.35075098,0.21872359039089664
10700,[84.37727],82.09788,[2.279394],0.35075098,0.2186707129764529
10800,[81.42503],79.15935,[2.265685],0.35075098,0.2186155934379606
10900,[92.88159],90.63866,[2.2429385],0.35075098,0.21856106964540406
11000,[83.85312],81.65265,[2.2004716],0.35075098,0.21850581232315408
11100,[80.601105],78.40039,[2.2007158],0.35075098,0.2184514142913769
11200,[109.30219],107.14573,[2.1564627],0.35075098,0.2183985464378821
11300,[82.22338],80.05658,[2.1668043],0.35075098,0.2183422739571729
11400,[75.082405],72.92032,[2.162084],0.35075098,0.21828599830969342
11500,[86.58072],84.482765,[2.0979557],0.35075098,0.21823279826053943
11600,[111.07579],108.99367,[2.082119],0.35075098,0.2181773550715365
11700,[79.37659],77.34263,[2.03396],0.35075098,0.2181212857992298
11800,[101.147484],99.08346,[2.064027],0.35075098,0.21806461430173213
11900,[77.84624],75.740074,[2.1061664],0.35075098,0.21800326648147522
12000,[82.69262],80.52165,[2.1709673],0.35075098,0.21794316113893578
12100,[78.880974],76.74267,[2.1383042],0.35075098,0.21788444230385073
12200,[71.54919],69.430756,[2.1184316],0.35075098,0.2178286322478073
12300,[85.708855],83.53629,[2.1725593],0.35075098,0.21776778531152854
12400,[84.94789],82.81516,[2.1327317],0.35075098,0.21771123760689065
12500,[70.68168],68.57577,[2.105912],0.35075098,0.2176531644125349
12600,[80.97698],78.8744,[2.1025856],0.35075098,0.2175943206608328
12700,[72.82183],70.77583,[2.045995],0.35075098,0.21753766724249174
12800,[84.60779],82.53286,[2.0749261],0.35075098,0.2174791164101025
12900,[82.677765],80.596466,[2.0812962],0.35075098,0.21741924332017437
13000,[84.572556],82.50205,[2.070505],0.35075098,0.21736165674821042
13100,[89.221695],87.16875,[2.0529501],0.35075098,0.21730463042468334
13200,[83.128975],81.141205,[1.9877697],0.35075098,0.21724979527674515
13300,[73.7543],71.7809,[1.9734015],0.35075098,0.2171954248117085
13400,[85.25614],83.20269,[2.0534494],0.35075098,0.2171336158890204
