epoch,elbo,nll,kl,prior_mean,prior_std
159,[148148.3],143004.92,[5143.391],0.19052969,1.140700936
,,,,,
160,[148425.6],143284.77,[5140.5884],0.19097386,1.141273499
,,,,,
161,[148632.03],143491.42,[5140.5034],0.19151111,1.141908765
,,,,,
162,[147684.64],142542.66,[5142.004],0.191865,1.142347932
,,,,,
163,[147939.86],142799.9,[5140.117],0.19230299,1.142962217
,,,,,
164,[149586.16],144443.92,[5142.2925],0.19285919,1.143686414
,,,,,
165,[149240.66],144089.64,[5150.898],0.19346441,1.144414663
,,,,,
166,[148482.36],143325.78,[5156.659],0.19391157,1.144959688
,,,,,
167,[148519.97],143360,[5159.8623],0.19432038,1.145472288
,,,,,
168,[148689.77],143529.72,[5160.0444],0.19476795,1.145996571
,,,,,
169,[146960.03],141799.84,[5160.0957],0.19512233,1.146469593
,,,,,
170,[147259.48],142101.1,[5158.489],0.19566876,1.147187233
,,,,,
171,[146900.64],141740.4,[5160.237],0.1960021,1.147622108
,,,,,
172,[146483.12],141328.36,[5154.9053],0.19638787,1.148090363
,,,,,
173,[147075.44],141923.27,[5152.3066],0.196814,1.148666024
,,,,,
174,[146401.56],141250.17,[5151.357],0.19726528,1.149279833
,,,,,
175,[147296.12],142143.44,[5152.5015],0.19765684,1.149814606
,,,,,
176,[146729.86],141581.66,[5148.14],0.19807915,1.150337815
,,,,,
177,[147583.34],142438.81,[5144.764],0.1985962,1.150982618
,,,,,
178,[148171.89],143024.45,[5147.6226],0.19915144,1.151689887
,,,,,
179,[148703.94],143549.48,[5154.4785],0.19975968,1.152460098
,,,,,
180,[147416.3],142255.45,[5160.7046],0.20026053,1.153032422
,,,,,
181,[146019.23],140853.55,[5165.6465],0.20070146,1.153529644
,,,,,
182,[147505.5],142337.02,[5168.4585],0.2010737,1.154061913
,,,,,
183,[146727.42],141559.92,[5167.507],0.20143408,1.154605031
,,,,,
184,[147430.61],142262.05,[5168.655],0.20196493,1.155315399
,,,,,
185,[146703.06],141532.02,[5170.942],0.20241567,1.155866385
,,,,,
186,[146480.89],141309.72,[5171.0977],0.2028693,1.156507969
,,,,,
187,[146777.42],141602.17,[5175.274],0.2033892,1.157211065
,,,,,
188,[146340.67],141161.7,[5179.006],0.2037859,1.157750845
,,,,,
189,[146997.38],141821.23,[5176.189],0.20416729,1.158269882
,,,,,
190,[146167.03],140991.08,[5175.886],0.20462497,1.158933163
,,,,,
191,[147365.23],142191.66,[5173.603],0.20516394,1.159546137
,,,,,
192,[147382.7],142206.9,[5175.8296],0.20564756,1.16024065
,,,,,
193,[148814.4],143633.73,[5180.707],0.20614834,1.160838366
,,,,,
194,[147630.83],142438.44,[5192.3403],0.20672743,1.161526918
,,,,,
195,[146308.36],141107.16,[5201.263],0.20718135,1.162110806
,,,,,
196,[147850.64],142645.02,[5205.7627],0.20768757,1.16276288
,,,,,
197,[146910.31],141699.1,[5211.13],0.20813645,1.16335845
,,,,,
198,[146452.98],141236.86,[5216.1836],0.20851213,1.163885593
,,,,,
199,[146641.3],141422.08,[5219.2407],0.20897362,1.164422274
,,,,,
200,[146784.58],141563.6,[5220.9688],0.20937486,1.164951086
