epoch,elbo,nll,kl,prior_std
25400,[5236.258],8.563353,[5227.6943],tensor(0.0500)
25500,[5249.1636],24.295248,[5224.868],tensor(0.0500)
25600,[5229.9473],7.80834,[5222.1387],tensor(0.0500)
25700,[5289.088],69.78796,[5219.3],tensor(0.0500)
25800,[5227.45],10.7766285,[5216.674],tensor(0.0500)
25900,[5226.4883],12.370157,[5214.1177],tensor(0.0500)
26000,[5246.367],34.685154,[5211.682],tensor(0.0500)
26100,[5216.83],7.7831535,[5209.047],tensor(0.0500)
26200,[5215.8765],9.361209,[5206.5156],tensor(0.0500)
26300,[5235.7344],31.651081,[5204.083],tensor(0.0500)
26400,[5234.468],32.726288,[5201.741],tensor(0.0500)
26500,[5220.0757],20.537136,[5199.5386],tensor(0.0500)
26600,[5215.5537],18.290329,[5197.2637],tensor(0.0500)
26700,[5235.619],40.700764,[5194.9185],tensor(0.0500)
26800,[5206.4536],13.72246,[5192.7314],tensor(0.0500)
26900,[5259.0596],68.55941,[5190.5005],tensor(0.0500)
27000,[5215.08],26.655928,[5188.424],tensor(0.0500)
27100,[5233.299],47.015823,[5186.283],tensor(0.0500)
27200,[5205.906],21.743595,[5184.162],tensor(0.0500)
27300,[5242.5933],60.614,[5181.9795],tensor(0.0500)
27400,[5208.3706],28.513216,[5179.8574],tensor(0.0500)
27500,[5220.184],42.47618,[5177.708],tensor(0.0500)
27600,[5217.2295],41.525627,[5175.704],tensor(0.0500)
27700,[5244.981],71.26322,[5173.718],tensor(0.0500)
27800,[5197.252],25.412195,[5171.84],tensor(0.0500)
27900,[5213.373],43.53841,[5169.835],tensor(0.0500)
28000,[5175.4795],7.530515,[5167.9487],tensor(0.0500)
28100,[5245.241],79.09757,[5166.1436],tensor(0.0500)
28200,[5214.7593],50.48812,[5164.2715],tensor(0.0500)
28300,[5195.2803],32.828415,[5162.452],tensor(0.0500)
28400,[5214.8325],54.158512,[5160.674],tensor(0.0500)
28500,[5180.503],21.507128,[5158.996],tensor(0.0500)
28600,[5193.388],36.188004,[5157.2],tensor(0.0500)
28700,[5214.7744],59.327732,[5155.4463],tensor(0.0500)
28800,[5186.4404],32.710007,[5153.7305],tensor(0.0500)
28900,[5195.545],43.415955,[5152.129],tensor(0.0500)
29000,[5204.314],53.728,[5150.586],tensor(0.0500)
29100,[5179.9385],30.966763,[5148.9717],tensor(0.0500)
29200,[5165.1016],17.765533,[5147.336],tensor(0.0500)
29300,[5169.9604],24.279526,[5145.6807],tensor(0.0500)
29400,[5176.946],32.78044,[5144.165],tensor(0.0500)
29500,[5165.047],22.343864,[5142.703],tensor(0.0500)
29600,[5170.654],29.301655,[5141.352],tensor(0.0500)
29700,[5210.659],70.803894,[5139.8555],tensor(0.0500)
29800,[5189.5586],51.22142,[5138.337],tensor(0.0500)
29900,[5151.5933],14.721399,[5136.872],tensor(0.0500)
30000,[5161.3657],25.916058,[5135.4497],tensor(0.0500)
30100,[5186.5703],52.585777,[5133.9844],tensor(0.0500)
30200,[5222.1436],89.53016,[5132.6133],tensor(0.0500)
