epoch,elbo,nll,kl,prior_std
180,[7301.5684],856.8832,[6444.685],0.0050223996,0.05165081480547713
181,[7285.529],852.2274,[6433.302],0.0050223996,0.051659758451660556
182,[7278.5957],856.6385,[6421.957],0.0050223996,0.05166869968084797
183,[7243.918],833.28436,[6410.634],0.0050223996,0.051677638495992495
184,[7245.4844],846.16437,[6399.3203],0.0050223996,0.051686574899442506
185,[7218.5786],830.5215,[6388.0566],0.0050223996,0.05169550889385845
186,[7193.507],816.6844,[6376.8223],0.0050223996,0.05170444048183189
187,[7186.7725],821.17755,[6365.5947],0.0050223996,0.05171336966618996
188,[7204.046],849.6498,[6354.396],0.0050223996,0.051722296449666666
189,[7158.5566],815.3236,[6343.2334],0.0050223996,0.05173122083577551
190,[7167.4883],835.4011,[6332.0874],0.0050223996,0.05174014282755273
191,[7158.203],837.2197,[6320.9834],0.0050223996,0.05174906242835173
192,[7148.5923],838.67865,[6309.914],0.0050223996,0.051757979641527174
193,[7149.4116],850.5231,[6298.8887],0.0050223996,0.051766894469623945
194,[7129.384],841.4738,[6287.91],0.0050223996,0.05177580691544678
195,[7134.716],857.78436,[6276.931],0.0050223996,0.05178471698122357
196,[7096.286],830.3297,[6265.9565],0.0050223996,0.05179362466771077
197,[7112.788],857.77264,[6255.0156],0.0050223996,0.05180252997671928
198,[7065.7285],821.63025,[6244.0986],0.0050223996,0.051811432909714385
199,[7095.3467],862.12134,[6233.2256],0.0050223996,0.0518203334687925
200,[7055.9746],833.5737,[6222.4004],0.0050223996,0.0518292316567784
201,[7048.515],836.9041,[6211.611],0.0050223996,0.051838127476728516
202,[7048.7764],847.914,[6200.8623],0.0050223996,0.05184702093152482
203,[7044.636],854.48486,[6190.1514],0.0050223996,0.0518559120236855
204,[7041.1265],861.6417,[6179.4844],0.0050223996,0.051864800756335365
205,[6999.3716],830.5375,[6168.834],0.0050223996,0.05187368713207417
206,[6996.285],838.0914,[6158.194],0.0050223996,0.05188257115296418
207,[6984.137],836.53906,[6147.598],0.0050223996,0.05189145282150312
208,[6990.331],853.26587,[6137.0654],0.0050223996,0.05190033214062753
209,[6974.5884],848.0242,[6126.5645],0.0050223996,0.05190920911336226
210,[6949.783],833.69055,[6116.093],0.0050223996,0.0519180837428249
211,[6928.4937],822.857,[6105.6367],0.0050223996,0.05192695603196522
212,[6975.467],880.2724,[6095.1943],0.0050223996,0.05193582598351151
213,[6931.0176],846.2225,[6084.795],0.0050223996,0.05194469359992393
214,[6931.001],856.58606,[6074.415],0.0050223996,0.05195355888265858
215,[6925.171],861.09094,[6064.08],0.0050223996,0.0519624218342687
216,[6905.176],851.37,[6053.8057],0.0050223996,0.05197128245715745
217,[6917.8],874.2357,[6043.5645],0.0050223996,0.05198014075405
218,[6871.899],838.5578,[6033.341],0.0050223996,0.05198899672610022
219,[6865.1367],841.99786,[6023.139],0.0050223996,0.0519978503748124
220,[6844.282],831.3095,[6012.9727],0.0050223996,0.05200670170241869
